rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Principal Program Detail Code,Stmt_date,Financial Rating Letter Grade,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
215,2/18/2004,193,175,131,S8SUBR,9/30/2006,A,1.15,4.47,"494,872","14,587","13,250","407,720",0,"1,029,910","276,550","46,390",0,"64,069","64,069",,,,,"62,606","62,606",,2,9,2,,"64,069",99,98,0,1,0,98,1,0,0,12,0,1.05,0,94,5,0,0,0,0
215,2/18/2004,193,175,131,S8SUBR,9/30/2007,A,1.25,3.9,"527,182",0,"18,146","407,511",0,"1,071,680","323,927","49,105",0,"64,069","64,069",,,,,"62,606","62,606",,2,9,2,,"64,069",99,98,0,1,0,98,1,0,0,12,0,1.05,0,94,5,0,0,0,0
215,2/18/2004,193,175,131,S8SUBR,9/30/2008,A,1.06,4.37,"453,857",0,"19,856","408,202",0,"631,326","196,535","51,977",0,"64,069","64,069",,,,,"62,606","62,606",,2,9,2,,"64,069",99,98,0,1,0,98,1,0,0,12,0,1.05,0,94,5,0,0,0,0
215,2/18/2004,193,175,131,S8SUBR,9/30/2009,A,1.06,4.12,"444,662",0,"10,725","408,202",0,"561,086","191,164","55,019",0,"64,069","64,069",,,,,"62,606","62,606",,2,9,2,,"64,069",99,98,0,1,0,98,1,0,0,12,0,1.05,0,94,5,0,0,0,0
215,2/18/2004,193,175,131,S8SUBR,9/30/2010,A,1.13,3.82,"474,490","13,502","3,456","406,652",0,"582,701","210,596","58,238",0,"64,069","64,069",,,,,"62,606","62,606",,2,9,2,,"64,069",99,98,0,1,0,98,1,0,0,12,0,1.05,0,94,5,0,0,0,0
216,10/17/2006,686,160,127,S8NCON,12/31/2007,A,1.02,3.92,"664,432","241,121","18,262","397,984",0,"376,431","196,058","100,000",0,"78,546",,"78,546",,,,0,,,1,2,1,,"78,546",99,98,0,1,0,98,1,0,0,0,0,1.01,0,98,1,0,0,0,0
216,10/17/2006,686,160,127,S8NCON,12/31/2008,C,0.83,1.29,"583,526","239,259","12,845","397,984",0,"347,399","375,477","106,000",0,"78,546",,"78,546",,,,0,,,1,2,1,,"78,546",99,98,0,1,0,98,1,0,0,0,0,1.01,0,98,1,0,0,0,0
216,10/17/2006,686,160,127,S8NCON,12/31/2009,A,1.23,4.31,"544,669","52,247","4,065","397,984",0,"503,662","228,775","112,000",0,"78,546",,"78,546",,,,0,,,1,2,1,,"78,546",99,98,0,1,0,98,1,0,0,0,0,1.01,0,98,1,0,0,0,0
216,10/17/2006,686,160,127,S8NCON,12/31/2010,A,1.06,2.38,"421,359",0,"1,424","397,883",0,"320,809","253,817","119,000",0,"78,546",,"78,546",,,,0,,,1,2,1,,"78,546",99,98,0,1,0,98,1,0,0,0,0,1.01,0,98,1,0,0,0,0
218,3/23/2004,618,158,98,S8NCON,12/31/2004,A,1.21,1.9,"339,964","123,995","4,711","174,793",0,"178,980","112,060","18,015",0,"36,000",,"36,000",,,,0,,,1,5,1,,"36,000",43,42,0,0,1,42,0,0,1,4,0,1,0,43,0,0,0,0,0
